revision,dirty,build_type,cmake_version,host,os,cpu,c_compiler,c_compiler_id,c_compiler_version,c_flags,cxx_compiler,cxx_compiler_id,cxx_compiler_version,cxx_flags,workload_id,workload_size,expected_outcome,strategy,sample_index,equivalence_status,failure_atomic,emitted_source_bytes,emission_time_ns,c_compile_time_ns,executable_bytes,execution_time_ns,emission_peak_kib,compile_peak_kib,execution_peak_kib
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,flat,1,byte_equivalent,true,1077,1554205,222192769,16256,1189358,4176,27144,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,flat,2,byte_equivalent,true,1077,1574673,225349069,16256,1178248,4164,27296,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,flat,3,byte_equivalent,true,1077,1673116,224457604,16256,1204616,4164,27240,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,flat,4,byte_equivalent,true,1077,1688034,225292423,16256,1134918,4144,27148,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,flat,5,byte_equivalent,true,1077,1547172,224652669,16256,1212842,4168,27240,1576
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,hybrid,1,byte_equivalent,true,256,1548936,212065797,16088,1202613,4204,25008,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,hybrid,2,byte_equivalent,true,256,1554266,217003064,16088,1195670,4128,24940,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,hybrid,3,byte_equivalent,true,256,1638652,220063927,16088,1167397,4124,24920,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,hybrid,4,byte_equivalent,true,256,1710406,219786110,16088,1145317,4168,24924,1576
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,hybrid,5,byte_equivalent,true,256,1611772,220157520,16088,1117855,4152,25008,1516
